CREATED_AT_DATE,CREATED_AT_HOUR,CONTACT_DATA_FULL_NAME,INCREMENTAL_LEAD_CODE,CONTACT_DATA_INCREMENTAL_CONTACT_CODE,CONTACT_DATA_MOBILE_PHONE,CONTACT_DATA_PHONE,CONTACT_DATA_EMAIL,LEAD_STATUS_DATA_NAME,TIPO_MATRICULA,CONTACT_DATA_ADNETWORK_NAME,CAMPAIGN_DATA_NAME,ENROLLMENT_DATA_FIRST_PAY,ENROLLMENT_DATA_DATE_FIRST_PAY_DATE,ENROLLMENT_DATA_DATE_FIRST_PAY_HOUR,ENROLLMENT_DATA_DATE_ENROLLED_DATE,ENROLLMENT_DATA_DATE_ENROLLED_HOUR,ENROLLMENT_DATA_AMOUNT_PAYED,ENROLLMENT_DATA_AMOUNT_CONTRACT,DURATION_START_DATE,CONTACT_DATA_DOCUMENT_ID,SALES_ADVISOR_FULL_NAME,PROGRAMA_CRM,USERNAME,INCREMENTAL_USER_CODE,INTERNAL_USER_ID,Ultima_Fecha_Ingreso_DATE,Ultima_Fecha_Ingreso_HOUR,Cantidad_Asistencias,Tiene_Ingreso,ADDRESS,NEIGHBORHOOD,GENDER,LOCALITY,DOCUMENT_TYPE,SOCIOECONOMIC_LEVEL,BIRTHDAY,EDAD_EXACTA,ALERTA_SIN_USUARIO_SIS,_POBLACION,DOCTYPE,NOMBRE_SIS,DOCUMENTO_SIS,PROGRAMA_SIS,CARRIL,GRUPO,FECHA_INICIO_GRUPO,FECHA_FIN_GRUPO,NOTA,ESTADO_PUBLICACION,ESTADO_APROBACION,PROGRESO,GROUP_ID,PROGRAM_ID,ESTADO_ACADEMICO
2026-04-28,13:30:00,Estudiante Demo 0001,500001,510001,3947151845,,demo0@correo-demo.com,Matriculado,MATRICULADO,facebook,TikTok Ads,True,2026-04-28,09:00:00,2026-04-28,09:00:00,1800000,1800000,2026-05-12,162998541,Sebastián Ruiz,Técnico Laboral en Auxiliar Administrativo,user0,SIS100000,927baf54a078448a9dd8acba,2026-08-30,15:30:00,7,SI,Calle 126 # 49-88,Barrio 39,M,Bogotá,cc,2,2008-09-23,18,NO,nacional,Cédula de Ciudadanía,Estudiante Demo 0001,162998541,Técnico Laboral en Auxiliar Administrativo,SEMIPRESENCIAL,Grupo-519-M1,08/05/2026,07/06/2026,4.7,True,False,completado,95cd58b923844ee9b400da1a,a69fcca6de2b4319bbcd31a7,Retirado
2026-04-28,13:30:00,Estudiante Demo 0001,500001,510001,3947151845,,demo0@correo-demo.com,Matriculado,MATRICULADO,facebook,TikTok Ads,True,2026-04-28,09:00:00,2026-04-28,09:00:00,1800000,1800000,2026-05-12,162998541,Sebastián Ruiz,Técnico Laboral en Auxiliar Administrativo,user0,SIS100000,927baf54a078448a9dd8acba,2026-08-30,15:30:00,7,SI,Calle 126 # 49-88,Barrio 39,M,Bogotá,cc,2,2008-09-23,18,NO,nacional,Cédula de Ciudadanía,Estudiante Demo 0001,162998541,Técnico Laboral en Auxiliar Administrativo,VIRTUAL,Grupo-232-M2,08/05/2026,07/06/2026,4.8,True,True,en_progreso,6a47aada8f9047eaadbf850e,81f32f2e07e34c639e11e103,Retirado
2026-04-28,13:30:00,Estudiante Demo 0001,500001,510001,3947151845,,demo0@correo-demo.com,Matriculado,MATRICULADO,facebook,TikTok Ads,True,2026-04-28,09:00:00,2026-04-28,09:00:00,1800000,1800000,2026-05-12,162998541,Sebastián Ruiz,Técnico Laboral en Auxiliar Administrativo,user0,SIS100000,927baf54a078448a9dd8acba,2026-08-30,15:30:00,7,SI,Calle 126 # 49-88,Barrio 39,M,Bogotá,cc,2,2008-09-23,18,NO,nacional,Cédula de Ciudadanía,Estudiante Demo 0001,162998541,Técnico Laboral en Auxiliar Administrativo,PRESENCIAL,Grupo-910-M3,08/05/2026,07/06/2026,0.0,False,False,completado,f92780aeafa246ee9a4a685d,9602688b005e48458c09164e,Retirado
2026-04-28,13:30:00,Estudiante Demo 0001,500001,510001,3947151845,,demo0@correo-demo.com,Matriculado,MATRICULADO,facebook,TikTok Ads,True,2026-04-28,09:00:00,2026-04-28,09:00:00,1800000,1800000,2026-05-12,162998541,Sebastián Ruiz,Técnico Laboral en Auxiliar Administrativo,user0,SIS100000,927baf54a078448a9dd8acba,2026-08-30,15:30:00,7,SI,Calle 126 # 49-88,Barrio 39,M,Bogotá,cc,2,2008-09-23,18,NO,nacional,Cédula de Ciudadanía,Estudiante Demo 0001,162998541,Técnico Laboral en Auxiliar Administrativo,SEMIPRESENCIAL,Grupo-521-M4,08/05/2026,07/06/2026,3.4,True,True,completado,c2fdc097e10d4fa5bf8c2304,76c698ccf3b847e9b541f19f,Retirado
2026-04-28,13:30:00,Estudiante Demo 0001,500001,510001,3947151845,,demo0@correo-demo.com,Matriculado,MATRICULADO,facebook,TikTok Ads,True,2026-04-28,09:00:00,2026-04-28,09:00:00,1800000,1800000,2026-05-12,162998541,Sebastián Ruiz,Técnico Laboral en Auxiliar Administrativo,user0,SIS100000,927baf54a078448a9dd8acba,2026-08-30,15:30:00,7,SI,Calle 126 # 49-88,Barrio 39,M,Bogotá,cc,2,2008-09-23,18,NO,nacional,Cédula de Ciudadanía,Estudiante Demo 0001,162998541,Técnico Laboral en Auxiliar Administrativo,SEMIPRESENCIAL,Grupo-405-M5,08/05/2026,07/06/2026,0.0,False,False,en_progreso,36bea05267184ebb8d0397fb,5d0c31d2d33d4aa0b9e32908,Retirado
2026-01-20,06:50:00,Estudiante Demo 0002,500004,510004,3107049867,,demo1@correo-demo.com,Matriculado,MATRICULADO,tiktok,Facebook Ads Sept,True,2026-01-20,09:00:00,2026-01-20,09:00:00,2400000,2400000,2026-02-03,30083885,Julián Herrera,T.L en Auxiliar de Mercadeo y Ventas,user1,SIS100001,c035631b13ff4c59b8204c6d,2026-09-10,15:30:00,4,SI,Calle 64 # 12-58,Barrio 29,F,Mosquera,ppt,1,2009-09-23,17,NO,extranjero,PPT Permiso por protección temporal,Estudiante Demo 0002,30083885,Técnico Laboral en Auxiliar de Mercadeo y Ventas,SEMIPRESENCIAL,Grupo-183-M1,01/02/2026,03/03/2026,0.0,False,False,completado,e1a268cc480b4b64ad821286,3c074765198d4c75852818e8,Activo
2026-06-26,14:24:00,Estudiante Demo 0003,500007,510007,3981151607,,demo2@correo-demo.com,Matriculado,MATRICULADO,tiktok,TikTok Ads,True,2026-06-26,09:00:00,2026-06-26,09:00:00,2650000,2650000,2026-07-10,31374822,Valentina Gómez,Técnico laboral en servicios turísticos y hoteleros,user2,SIS100002,8f8ebe6d07634b57847b1781,2026-09-16,15:30:00,6,SI,Calle 26 # 76-27,Barrio 29,F,Soacha,cc,3,2001-09-23,25,NO,extranjero,PPT Permiso por protección temporal,Estudiante Demo 0003,31374822,Técnico laboral en servicios turísticos y hoteleros,PRESENCIAL,Grupo-806-M1,10/07/2026,09/08/2026,3.3,True,True,en_progreso,c77bf9574f2b452b8c931cf8,a7112471985e4d019f38103e,En proceso
2026-06-26,14:24:00,Estudiante Demo 0003,500007,510007,3981151607,,demo2@correo-demo.com,Matriculado,MATRICULADO,tiktok,TikTok Ads,True,2026-06-26,09:00:00,2026-06-26,09:00:00,2650000,2650000,2026-07-10,31374822,Valentina Gómez,Técnico laboral en servicios turísticos y hoteleros,user2,SIS100002,8f8ebe6d07634b57847b1781,2026-09-16,15:30:00,6,SI,Calle 26 # 76-27,Barrio 29,F,Soacha,cc,3,2001-09-23,25,NO,extranjero,PPT Permiso por protección temporal,Estudiante Demo 0003,31374822,Técnico laboral en servicios turísticos y hoteleros,PRESENCIAL,Grupo-131-M2,10/07/2026,09/08/2026,0.0,False,False,en_progreso,1627e9a098e74a4e8c8b2caf,4cc8b679e29c4d10a8d3a051,En proceso
2026-06-26,14:24:00,Estudiante Demo 0003,500007,510007,3981151607,,demo2@correo-demo.com,Matriculado,MATRICULADO,tiktok,TikTok Ads,True,2026-06-26,09:00:00,2026-06-26,09:00:00,2650000,2650000,2026-07-10,31374822,Valentina Gómez,Técnico laboral en servicios turísticos y hoteleros,user2,SIS100002,8f8ebe6d07634b57847b1781,2026-09-16,15:30:00,6,SI,Calle 26 # 76-27,Barrio 29,F,Soacha,cc,3,2001-09-23,25,NO,extranjero,PPT Permiso por protección temporal,Estudiante Demo 0003,31374822,Técnico laboral en servicios turísticos y hoteleros,SEMIPRESENCIAL,Grupo-319-M3,10/07/2026,09/08/2026,5.0,True,True,completado,c3b48d181c09461a8e7cec03,b9853ad89f0c49db994552dc,En proceso
2026-06-26,14:24:00,Estudiante Demo 0003,500007,510007,3981151607,,demo2@correo-demo.com,Matriculado,MATRICULADO,tiktok,TikTok Ads,True,2026-06-26,09:00:00,2026-06-26,09:00:00,2650000,2650000,2026-07-10,31374822,Valentina Gómez,Técnico laboral en servicios turísticos y hoteleros,user2,SIS100002,8f8ebe6d07634b57847b1781,2026-09-16,15:30:00,6,SI,Calle 26 # 76-27,Barrio 29,F,Soacha,cc,3,2001-09-23,25,NO,extranjero,PPT Permiso por protección temporal,Estudiante Demo 0003,31374822,Técnico laboral en servicios turísticos y hoteleros,VIRTUAL,Grupo-243-M4,10/07/2026,09/08/2026,4.7,True,True,en_progreso,630f1fe8c9134e58a9cd3335,d1ddcb1acc2548c8bcb1fc39,En proceso
